id;question;relv
0;Хочу тур по Санкт-Петербургу, включающий в себя экскурсии в Петергоф (Нижний парк) и Кронштадт;126, 2, 6, 7, 26, 27, 28, 125
1;Интересует тур по Байкалу с посещением мыса Бурхан (скала Шаманка) и острова Огой, включая ледяной фестиваль;175
2;Ищу тур по Кавказским Минеральным Водам с посещением Чегемского ущелья и Медовых водопадов;167
3;Ищу 7-дневный горнолыжный тур в Домбай с обучением катанию на лыжах/сноуборде для начинающих;187
4;Ищу 4-дневный тур по Кавказу с посещением Пятигорска, Кисловодска, Эльбруса и Черекского ущелья;43
5;Ищу 6-дневный тур по Алтаю с посещением Чемальского района, Телецкого и Каракольских озер;29
6;Ищу 4-дневный тур по Северной Осетии и Ингушетии с посещением Владикавказа, Куртатинского ущелья и Джейрахского ущелья;79
7;Хочу тур в Псков, включающий в себя экскурсии по историческим местам города и родовому имению матери А. С. Пушкина в селе Михайловское;100, 101
8;Хочу тур с посещением Сулакского каньона, включающий прогулку на катере и осмотр смотровых площадок;86
9;Ищу трехдневный тур по Великому Новгороду и Пскову, с акцентом на историю и архитектуру древней Руси;117
10;Ищу трехдневный тур в Архыз с посещением Нижне-Архызского городища, Софийских водопадов и астрономических обсерваторий. Интересует сочетание исторических и природных достопримечательностей.;204
11;Ищу шестидневный тур по Карачаево-Черкесии с посещением Домбая, термальных источников, исторических и природных достопримечательностей. Интересует насыщенная программа с разнообразными экскурсиями.;179
12;Ищу трехдневный тур в Казань с посещением основных достопримечательностей, включая Казанский Кремль и Старо-Татарскую слободу. Интересует сочетание обзорных и тематических экскурсий.;53
13;Ищу пятидневный тур в Санкт-Петербург с посещением пригородов (Шлиссельбург, Петергоф, Кронштадт) и обзорными экскурсиями по городу.;126, 2, 6, 7, 26, 27, 28, 125
14;Ищу тур по Горному Алтаю с посещением Телецкого озера, Долины горных духов (Че-Чкыш), Чуйского тракта и других достопримечательностей. Интересует сочетание природных красот и культурных объектов.;159
15; Ищу тур в Великий Новгород с посещением основных достопримечательностей города и окрестностей. Интересует сочетание обзорных и тематических экскурсий.;110, 111, 112
16;Ищу двухдневный тур по Казани с насыщенной культурной программой. Интересуют экскурсии по историческим местам, таким как Казанский Кремль, Богородицкий монастырь, и, возможно, остров-град Свияжск;10, 11, 15, 40, 54, 55
17;Трехдневный тур по Карелии с проживанием в Петрозаводске, включающий посещение водопада Кивач, Марциальных вод и обзорную экскурсию по городу;9, 156, 58
18;Четырехдневный тур по Владивостоку с обзорной экскурсией по городу, посещением острова Русский и Приморского сафари-парка. Гастрономические элементы приветствуются;46, 119, 196
19;"Восьмидневный тур по Хакасии с посещением Долины царей, Ивановских и Панфиловских озер, заповедника ""Оглахты"" и ""Хуртуях Тас""";148
20;7-дневный тур по Москве с экскурсиями по городу, например по ВДНХ,Старому арбату, Царицино или Красной площади;0, 1
21;ищу тур по Карелии, включающий в себя посещения центра шунгита;9, 156
