0;В каком туре я смогу увидеть водопад Кивач и сколько времени там будет выделено?
1;Какой тур предлагает посещение Валаамского монастыря с сопровождением гида?
2;Предлагает ли тур знакомство с традиционными ремеслами или мастер-классы в Кижах?
3;Насколько сложный поход к вулкану Гирвас, и подходит ли он для людей с разной физической подготовкой?
4;Какой тур включает посещение Онежских петроглифов с профессиональным гидом?
5;Какой тур включает посещение беломорских петроглифов с профессиональным гидом?
6;"Какие туры предлагают посещение горного парка ""Рускеала"" с разными вариантами активности?"
7;"Какой тур предлагает посещение первого российского курорта ""Марциальные воды?"
8;Есть ли интерактивные программы для детей в резиденции деда мороза?
9;Какой тур предлагает круиз или путешествие на лодке по Ладожским шхерам?
10;Где можно подробнее узнать о шунгите
11;активный отдых в горах Карелии
12;экскурсии к водопадам Карелии
13;новогодние туры в Карелию
14;Где можно посмотреть карельские петроглифы
15;Где можно провести время зимой в Карелии
16;Где можно провести время летом в Карелии
17;природные заповедники Карелии туры
